Marca,Etiqueta Web,Tipo Producto,Precio,Precio Previo,Descuento Aplicado (en %),Image URL,Product URL,descuento_correcto
AMIX,CellUp Energy Shot - 60ml Cola de AmiXpro® series,Energie shot,2.2,40.9,94.0,https://contents.mediadecathlon.com/m18984861/k$d3135055e7e8d69aa0fe3f999fd9b39a/picture.jpg,p/mp/amix/cellup-energy-shot-60ml-cola-de-amixpro-series/_/R-p-e615e481-194a-4902-b01e-9a67e321a7c7?mc=e615e481-194a-4902-b01e-9a67e321a7c7_g336&fl=Mango al melocotón,True
AMIX,CellUp Energy Shot - 60ml Cola de AmiXpro® series,Energie shot,2.2,40.9,94.0,https://contents.mediadecathlon.com/m18984814/k$464cd9061b357d5f260b27313358a00c/picture.jpg,p/mp/amix/cellup-energy-shot-60ml-cola-de-amixpro-series/_/R-p-e615e481-194a-4902-b01e-9a67e321a7c7?mc=e615e481-194a-4902-b01e-9a67e321a7c7_g31&fl=Cola,True
MMSUPPLEMENTS,Cafeína - 120 Cápsulas Vegetales de MM Supplements,cafeína,5.99,24.99,76.0,https://contents.mediadecathlon.com/m18984326/k$21a78ed9da8af9a50317db030648ae6f/picture.jpg,p/mp/mmsupplements/cafeina-120-capsulas-vegetales-de-mm-supplements/_/R-p-1a350e02-f0b0-4153-8648-d70ee5aaf335?mc=1a350e02-f0b0-4153-8648-d70ee5aaf335_g410&fl=Sin sabor,True
AESTHETIC WOLF,Aesthetic Wolf Camiseta de Oración - Hombre - Negra,camiseta,10.99,44.99,75.0,https://contents.mediadecathlon.com/m17790335/k$e3f6300444b7f27d16b4d1e79ab06929/picture.jpg,p/mp/aesthetic-wolf/aesthetic-wolf-camiseta-de-oracion-hombre-negra/_/R-p-aac53d13-bdeb-4ff1-bded-fd2a8d3bac83?mc=aac53d13-bdeb-4ff1-bded-fd2a8d3bac83_c1&c=negro,True
NORTHERN SPIRIT,Camiseta mujer rayas logo Northern Spirit French Touch Epaulet,camiseta,10.0,39.0,74.0,https://contents.mediadecathlon.com/m18299200/k$60232aca2ccca348cc20137a8d188c1f/picture.jpg,p/mp/northern-spirit/camiseta-mujer-rayas-logo-northern-spirit-french-touch-epaulet/_/R-p-5cfb6ad0-8af8-49a3-93e5-4868e24564c4?mc=5cfb6ad0-8af8-49a3-93e5-4868e24564c4_c4&c=blanco,True
NORTHERN SPIRIT,Camiseta hombre diseño rayas Northern Spirit NS French Touch Saint,camiseta,10.0,39.0,74.0,https://contents.mediadecathlon.com/m18299127/k$af376791937ab971c69cc6542ba1b583/picture.jpg,p/mp/northern-spirit/camiseta-hombre-diseno-rayas-northern-spirit-ns-french-touch-saint/_/R-p-e2f6a538-d002-4e69-8b70-66d8de3cf64f?mc=e2f6a538-d002-4e69-8b70-66d8de3cf64f_c4&c=blanco,True
NORTHERN SPIRIT,Camiseta mujer ajuste regular Northern Spirit Epaulet,camiseta,10.0,39.0,74.0,https://contents.mediadecathlon.com/m18299051/k$0ad8b42a9ed136a0166bb9ffab77ffc9/picture.jpg,p/mp/northern-spirit/camiseta-mujer-ajuste-regular-northern-spirit-epaulet/_/R-p-f5c5307a-7599-4b1a-a706-bdf3ef125034?mc=f5c5307a-7599-4b1a-a706-bdf3ef125034_c4&c=blanco,True
MMSUPPLEMENTS,Cafeína - 60 Cápsulas Vegetales de MM Supplements,cafeína,3.38,12.99,73.0,https://contents.mediadecathlon.com/m19116152/k$79ce09cc517c40bb03664ac72f5c1ecc/picture.jpg,p/mp/mmsupplements/cafeina-60-capsulas-vegetales-de-mm-supplements/_/R-p-7cc4304e-0f2b-46c4-855f-cfa650975217?mc=7cc4304e-0f2b-46c4-855f-cfa650975217_g410&fl=Sin sabor,True
MMSUPPLEMENTS,Glutamina Kyowa® + BCAA + Electrolitos - 300g Limon de MM Supplements,BCAA,11.9,42.99,72.0,https://contents.mediadecathlon.com/m18984768/k$59d1c12f55cd78ee383d4b3f180efe68/picture.jpg,p/mp/mmsupplements/glutamina-kyowa-bcaa-electrolitos-300g-limon-de-mm-supplements/_/R-p-9e0a703f-84a2-4dec-84f1-d551e38a2653?mc=9e0a703f-84a2-4dec-84f1-d551e38a2653_g29&fl=Limón,True
MMSUPPLEMENTS,Aceite de Krill - 60 Softgels de MM Supplements,omega 3,8.5,29.9,71.0,https://contents.mediadecathlon.com/m18984145/k$243bd5f99d275c65a07dec51f55b08ff/picture.jpg,p/mp/mmsupplements/aceite-de-krill-60-softgels-de-mm-supplements/_/R-p-53d25762-6c7c-4f7f-8eab-e9236eab70ea?mc=53d25762-6c7c-4f7f-8eab-e9236eab70ea_g410&fl=Sin sabor,True
NORTHERN SPIRIT,Camiseta mujer fit oversize Northern Spirit NS French Touch Baggy Tank,camiseta,10.0,34.0,70.0,https://contents.mediadecathlon.com/m18299124/k$566cee91b0b53e2b773519a70a153dcf/picture.jpg,p/mp/northern-spirit/camiseta-mujer-fit-oversize-northern-spirit-ns-french-touch-baggy-tank/_/R-p-34926db0-7e74-4a7a-b1b8-96b181249880?mc=34926db0-7e74-4a7a-b1b8-96b181249880_c4&c=blanco,True
NORTHERN SPIRIT,Camiseta hombre sin mangas Northern Spirit French Touch Rider,camiseta,10.0,34.0,70.0,https://contents.mediadecathlon.com/m18299210/k$4e01c4f555e5689fccff32c7aba61387/picture.jpg,p/mp/northern-spirit/camiseta-hombre-sin-mangas-northern-spirit-french-touch-rider/_/R-p-54390b3c-7bb9-4b34-ae7b-a0670bef2f87?mc=54390b3c-7bb9-4b34-ae7b-a0670bef2f87_c4&c=blanco,True
NORTHERN SPIRIT,Sombrero niño cross training adulto logo ancho Northern Spirit,Sombrero,10.0,34.0,70.0,https://contents.mediadecathlon.com/m18299317/k$9c36b3c4bc0547d5925c331c40f2c848/picture.jpg,p/mp/northern-spirit/sombrero-nino-cross-training-adulto-logo-ancho-northern-spirit/_/R-p-4474b96c-1b5c-4751-b855-9a783952a789?mc=4474b96c-1b5c-4751-b855-9a783952a789_c172&c=rosa,True
NORTHERN SPIRIT,Camiseta mujer oversize Northern Spirit French Touch,camiseta,10.0,34.0,70.0,https://contents.mediadecathlon.com/m18299042/k$b529f9732d789e50e7ff1eb56f16d7d9/picture.jpg,p/mp/northern-spirit/camiseta-mujer-oversize-northern-spirit-french-touch/_/R-p-ead6cafc-90a3-4c45-b024-39aa1f1e198d?mc=ead6cafc-90a3-4c45-b024-39aa1f1e198d_c4&c=blanco,True
NORTHERN SPIRIT,Camiseta hombre graphic text rayas Northern Spirit French Touch Rider,camiseta,10.0,34.0,70.0,https://contents.mediadecathlon.com/m18299016/k$d083d99bf0ad26cf81e2905e05a2b531/picture.jpg,p/mp/northern-spirit/camiseta-hombre-graphic-text-rayas-northern-spirit-french-touch-rider/_/R-p-a4b3e66a-9ed4-43e2-915e-d6aee33b1c4b?mc=a4b3e66a-9ed4-43e2-915e-d6aee33b1c4b_c4&c=blanco,True
NORTHERN SPIRIT,Sombrero Cross Training Adulto Ajustable Northern Spirit,Sombrero,10.0,34.0,70.0,https://contents.mediadecathlon.com/m18299296/k$d35690ea95b0e7c8f02683216536b951/picture.jpg,p/mp/northern-spirit/sombrero-cross-training-adulto-ajustable-northern-spirit/_/R-p-03d88c1e-c46b-4c83-8067-9fb214851f6a?mc=03d88c1e-c46b-4c83-8067-9fb214851f6a_c9&c=verde,True
