,title,content,Workout Title,Category,Routine Link,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required,Target Gender,Recommended Supps
0,Upper A,"[['Incline Bench Press', '3', '8-10'], ['One Arm Dumbbell Row', '3', '10-12'], ['Seated Barbell Press', '3', '8-10'], ['Pull Ups', '3', '10'], ['Skullcrushers', '3', '10-12'], ['Dumbbell Curl', '3', '10-12']]",12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/12-week-fat-destroyer,Lose Fat,Full Body,Beginner,12 weeks,4,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells",Male & Female,"Fat Burner, Whey Protein, BCAA Intra-Workout, Fish Oil (EFAs), Creatine Monohydrate"
1,Lower A,"[['Squats', '3', '8-10'], ['Leg Curl', '3', '12-15'], ['Leg Extension', '3', '12-15'], ['Leg Press Calf Raise', '3', '15-20'], ['Plank', '3', '60 sec'], ['Twisting Hanging Knee Raise', '3', '20']]",12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/12-week-fat-destroyer,Lose Fat,Full Body,Beginner,12 weeks,4,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells",Male & Female,"Fat Burner, Whey Protein, BCAA Intra-Workout, Fish Oil (EFAs), Creatine Monohydrate"
2,Upper B,"[['Dumbbell Bench Press', '3', '10'], ['Barbell Row', '3', '8-10'], ['Dumbbell Lateral Raise', '3', '12-15'], ['Lat Pull Down', '3', '10-12'], ['Cable Tricep Extensions', '3', '10-12'], ['EZ Bar Preacher Curl', '3', '10-12']]",12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/12-week-fat-destroyer,Lose Fat,Full Body,Beginner,12 weeks,4,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells",Male & Female,"Fat Burner, Whey Protein, BCAA Intra-Workout, Fish Oil (EFAs), Creatine Monohydrate"
3,Lower B,"[['Leg Press', '3', '15-20'], ['Stiff Leg Deadlift', '3', '8-10'], ['Walking Dumbbell Lunge', '3', '10'], ['Seated Calf Raise', '3', '15-20'], ['Cable Crunch', '3', '20'], ['Russian Twist', '3', '20']]",12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/12-week-fat-destroyer,Lose Fat,Full Body,Beginner,12 weeks,4,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells",Male & Female,"Fat Burner, Whey Protein, BCAA Intra-Workout, Fish Oil (EFAs), Creatine Monohydrate"
4,Day 1: Chest & Abs,"[['1. Incline Barbell Bench Press', '2x8-10', '3x10', '2-3 forced reps'], ['2. Dumbbell Fly', '1x10', '3x10-12', 'Drop sets'], ['3. Weighted Dip', '1x10', '3x10-12', 'Rest-pause'], ['4. Pec-Deck', '1x10', '3x12', 'Holds on last rep'], ['5a. Cable Crossover', '-', '3x12', 'Superset'], ['5b. Pushup', '-', '3x12', '-'], ['6. Hanging Leg Raise', '-', '3x12', 'Holds on last rep'], ['7a. Decline Situp', '-', '3x15', 'Superset'], ['7b. Side Bends', '-', '3x15', '-'], ['8. Plank', '-', '3xfailure', '-'], ['9. Rope Crunch', '-', '3x15', 'Drop sets']]",Spring Shred: 8 Week Fat Loss Workout Plan,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/8-week-spring-shred-program,Lose Fat,Split,Advanced,6 weeks,6,60-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Meal Replacement, Multivitamin, Fish Oil, Fat Burner (Optional)"
5,Day 2: Back,"[['1. Neutral Grip Pullups', '2x8-10', '3xfailure', 'Rest-pause'], ['2. Bent Over Barbell Row', '1x10', '3x10-12', 'Holds on last rep'], ['3a. Reverse Grip Pulldown', '1x10', '3x8-10', 'Superset'], ['3b. Straight Arm Pulldown', '1x10', '3x8-10', '-'], ['4. Wide Grip Seated Row', '1x10', '3x12', '2-3 forced reps'], ['5. Rack Deadlift', '1x10', '3x15', 'Drop sets']]",Spring Shred: 8 Week Fat Loss Workout Plan,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/8-week-spring-shred-program,Lose Fat,Split,Advanced,6 weeks,6,60-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Meal Replacement, Multivitamin, Fish Oil, Fat Burner (Optional)"
6,Day 3: Shoulders,"[['1a. Upright Row', '1x10', '3x10', 'Superset'], ['1b. Seated Lateral Raise', '1x10', '3x10', '-'], ['2. Seated Smith Machine Shoulder Press', '1x10', '3x10-12', 'Drop sets'], ['3. Front Plate Raise', '1x10', '3x12', '2-3 forced reps'], ['4. High Rope Face Pull', '1x10', '3x12', 'Rest-pause']]",Spring Shred: 8 Week Fat Loss Workout Plan,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/8-week-spring-shred-program,Lose Fat,Split,Advanced,6 weeks,6,60-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Meal Replacement, Multivitamin, Fish Oil, Fat Burner (Optional)"
7,Day 4: Arms,"[['1. EZ Bar Preacher Curl', '1x10', '3x10-12', '2-3 forced reps'], ['2. Close Grip Bench Press', '1x10', '3x10-12', 'Rest-pause'], ['3. Hammer Curl', '1x10', '3x12', 'Drop sets'], ['4. Overhead Rope Extension', '1x10', '3x12', 'Holds on last rep'], ['5a. Standing Cable Curl', '1x10', '3x15', 'Superset'], ['5b. Reverse Grip Pushdown', '1x10', '3x15', '-']]",Spring Shred: 8 Week Fat Loss Workout Plan,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/8-week-spring-shred-program,Lose Fat,Split,Advanced,6 weeks,6,60-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Meal Replacement, Multivitamin, Fish Oil, Fat Burner (Optional)"
8,Day 5: Legs,"[['1. Squat', '1x10', '3x8-10', 'Rest-pause'], ['2. Leg Press', '1x15', '3x15', 'Drop sets'], ['3. Single Leg Extension', '1x15', '3x15', 'Holds on last rep'], ['4a. Stiff-Legged Deadlift', '1x15', '3x15', 'Superset'], ['4b. Seated Leg Curl', '1x15', '3x15', '-'], ['5. Lying Leg Curl', '1x15', '3x15', 'Forced reps'], ['6a. Standing Calf Raise', '1x20', '3x20', 'Superset'], ['6b. Seated Calf Raise', '1x20', '3x20', '-']]",Spring Shred: 8 Week Fat Loss Workout Plan,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/8-week-spring-shred-program,Lose Fat,Split,Advanced,6 weeks,6,60-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Meal Replacement, Multivitamin, Fish Oil, Fat Burner (Optional)"
9,Day 1: Upper Body Focus,"[['1. Pull Down', '3', '12'], ['2. Dumbbell Incline Bench Press', '3', '12'], ['3. Cable Lateral Raise', '3', '15'], ['4. Seated Cable Row', '3', '12'], ['5. Dumbbell Curls', '2', '12'], ['6. Tricep Overhead Extension', '2', '12'], ['7. Machine Curl', '2', '12'], ['8. Rope Pressdown', '2', '12']]",Muscle & Strength’s 10 Week Women’s Fat Loss Workout,https://www.muscleandstrength.com/workouts/fat-loss,https://www.muscleandstrength.com/workouts/muscle-and-strength-womens-fat-loss-workout,Lose Fat,Split,Intermediate,10 weeks,6,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar",Male & Female,"Whey Protein Isolate, Fat Burner, CLA, Fish Oil"
